Date,Day_of_Week,Exercise_Type,Specific_Exercise,Duration_mins,Calories_Burned,Actual_Weight_kg,Expected_Weight_kg,Heart_Rate_bpm,Steps,Sleep_hours,Intensity,Notes
2025-09-24,Wednesday,Strength,Weightlifting,54,455,70.8,70.7,137,6235,6.8,High,Power training
2025-09-25,Thursday,Sports,Basketball,62,536,70.7,70.7,163,11416,7.8,High,Competitive game
2025-09-26,Friday,Cardio,Cycling,37,354,70.7,70.7,156,10253,6.9,High,Felt strong
2025-09-27,Saturday,Strength,Bodyweight,51,399,70.6,70.7,140,6819,7.0,Medium,Strength gains
2025-09-28,Sunday,Rest,Rest Day,0,0,70.9,70.7,72,4689,7.0,Low,Rest day
2025-09-29,Monday,Cardio,Jump Rope,37,296,70.4,70.7,150,7394,7.7,High,Great workout
2025-09-30,Tuesday,Strength,Weightlifting,36,303,70.9,70.7,135,5527,7.8,High,Leg day
2025-10-01,Wednesday,Strength,Weightlifting,44,317,70.8,70.7,149,5690,7.3,High,Progressive overload
2025-10-02,Thursday,Flexibility,Yoga,37,115,71.1,70.6,98,5559,8.3,Low,Recovery
2025-10-03,Friday,Cardio,Running,27,301,70.7,70.6,165,8411,6.9,High,Intervals
2025-10-04,Saturday,Strength,Weightlifting,47,406,70.5,70.6,141,6519,6.5,Medium,Progressive overload
2025-10-05,Sunday,Rest,Rest Day,0,0,70.2,70.6,68,3371,6.6,Low,Taking it easy
2025-10-06,Monday,Cardio,Swimming,48,475,70.3,70.6,162,10814,7.5,High,Morning session
2025-10-07,Tuesday,Strength,Bodyweight,43,314,70.5,70.6,141,6132,7.5,Medium,Solid session
2025-10-08,Wednesday,Cardio,Jump Rope,46,415,70.7,70.6,151,7929,7.2,High,Steady pace
2025-10-09,Thursday,Flexibility,Yoga,34,130,71.2,70.6,93,5807,7.0,Low,Mobility work
2025-10-10,Friday,Cardio,Swimming,50,515,70.6,70.6,165,9035,7.4,High,Felt strong
2025-10-11,Saturday,Sports,Soccer,57,499,70.3,70.6,165,11793,8.5,High,Weekend game
2025-10-12,Sunday,Rest,Rest Day,0,0,70.3,70.6,71,2848,7.2,Low,Needed rest
2025-10-13,Monday,Flexibility,Stretching,36,126,70.6,70.6,91,5677,8.2,Low,Stretching focus
2025-10-14,Tuesday,Rest,Rest Day,0,0,70.5,70.6,69,4961,8.0,Low,Recovery day
2025-10-15,Wednesday,Cardio,Swimming,50,453,70.8,70.6,157,12441,6.7,High,Felt strong
2025-10-16,Thursday,Flexibility,Stretching,55,188,71.2,70.6,88,5424,7.2,Low,Restorative
2025-10-17,Friday,Cardio,Cycling,45,488,70.6,70.6,148,10114,8.0,High,Great workout
2025-10-18,Saturday,Strength,Weightlifting,38,287,70.3,70.6,135,7079,6.7,High,Solid session
2025-10-19,Sunday,Rest,Rest Day,0,0,70.5,70.5,71,4266,8.5,Low,Recovery
2025-10-20,Monday,Cardio,Running,44,523,70.1,70.5,147,10519,7.3,High,Morning session
2025-10-21,Tuesday,Strength,Bodyweight,43,361,70.3,70.5,139,7927,6.6,Medium,Power training
2025-10-22,Wednesday,Cardio,Swimming,37,311,70.8,70.5,157,8098,8.0,Medium,Outdoor session
2025-10-23,Thursday,Flexibility,Stretching,39,118,71.0,70.5,93,5768,8.6,Low,Vinyasa flow
2025-10-24,Friday,Cardio,Jump Rope,28,297,70.3,70.5,156,7963,7.3,High,Hill training
2025-10-25,Saturday,Strength,Weightlifting,53,377,70.2,70.5,141,7148,6.6,High,Full body
2025-10-26,Sunday,Rest,Rest Day,0,0,70.1,70.5,72,2843,7.4,Low,Recharge day
2025-10-27,Monday,Rest,Rest Day,0,0,70.4,70.5,68,2490,7.4,Low,Rest and recover
2025-10-28,Tuesday,Flexibility,Yoga,30,101,70.8,70.5,86,5037,7.4,Low,Stretching focus
2025-10-29,Wednesday,Cardio,Cycling,25,255,70.9,70.5,163,10538,7.6,Medium,Speed work
2025-10-30,Thursday,Flexibility,Yoga,43,155,70.9,70.5,85,5817,7.4,Low,Vinyasa flow
2025-10-31,Friday,Cardio,Running,34,403,70.4,70.5,163,11870,7.3,Medium,Intervals
